Class                               Train      Valid
Hypogymnia physodes                   384         43
Panaeolus papilionaceus               383         43
Nectria cinnabarina                   383         43
Thelephora terrestris                 382         42
Tubifera ferruginosa                  382         42
Pseudohydnum gelatinosum              380         42
Cortinarius elatior                   378         42
Marasmius rotula                      376         42
Hygrocybe punicea                     376         42
Trichaptum abietinum                  375         42
Hypholoma capnoides                   374         42
Myxarium nucleatum                    373         41
Postia ptychogaster                   373         41
Xylodon raduloides                    371         41
Bisporella citrina                    370         41
Pleurotus pulmonarius                 369         41
Pholiota gummosa                      368         41
Panaeolina foenisecii                 366         41
Hericium coralloides                  364         41
Cordyceps militaris                   364         41
Aleuria aurantia                      364         41
Russula vesca                         363         40
Rhodocollybia maculata                362         40
Gliophorus laetus                     358         40
Parasola conopilus                    357         40
Lentinus substrictus                  357         40
Hygrocybe cantharellus                354         39
Chalciporus piperatus                 353         39
Lactarius deterrimus                  352         39
Lycoperdon excipuliforme              352         39
Lactarius necator                     352         39
Jackrogersella cohaerens              352         39
Lecanora chlarotera                   349         39
Otidea onotica                        347         39
Strobilurus esculentus                347         39
Mycena galopus                        345         38
Echinoderma asperum                   340         38
Agaricus augustus                     337         38
Helvella lacunosa                     336         37
Calocybe gambosa                      336         37
Amanita phalloides                    335         37
Infundibulicybe geotropa              334         37
Hydnum repandum                       334         37
Lecidella elaeochroma                 331         36
Coniophora puteana                    331         37
Steccherinum ochraceum                328         36
Leucoagaricus nympharum               326         36
Mycena vitilis                        323         36
Hymenochaetopsis tabacina             322         36
Tylopilus felleus                     322         36
Hortiboletus bubalinus                321         36
Lactarius subdulcis                   320         36
Tricholoma argyraceum                 319         35
Crepidotus cesatii                    319         36
Mycena tintinnabulum                  319         36
Pluteus salicinus                     319         35
Amanita pantherina                    318         35
Lactarius rufus                       317         35
Lactarius pubescens                   317         35
Cortinarius largus                    316         35
Cortinarius malicorius                315         35
Cortinarius torvus                    314         35
Cortinarius semisanguineus            313         35
Suillus granulatus                    311         35
Cortinarius anserinus                 310         35
Leotia lubrica                        310         35
Boletus reticulatus                   309         34
Cortinarius flexipes                  309         34
Mycena leptocephala                   307         34
Cortinarius croceus                   305         34
Kretzschmaria deusta                  304         34
Agaricus sylvicola                    304         34
Crucibulum crucibuliforme             304         34
Lepista sordida                       302         34
Lyophyllum decastes                   302         33
Armillaria mellea                     299         33
Hypoxylon petriniae                   298         33
Pholiota adiposa                      298         33
Fuligo septica                        297         33
Hortiboletus rubellus                 293         33
Xerocomellus cisalpinus               292         33
Xylaria polymorpha                    291         32
Ascocoryne cylichnium                 290         32
Gymnopus peronatus                    290         32
Abortiporus biennis                   289         32
Pycnoporellus fulgens                 288         32
Caloboletus calopus                   288         32
Hypholoma marginatum                  286         32
Sparassis crispa                      285         32
Physcia adscendens                    283         32
Neoantrodia serialis                  283         31
Russula paludosa                      282         31
Typhula fistulosa                     282         31
Ramalina farinacea                    281         31
Suillus cavipes                       281         31
Baeospora myosura                     280         31
Butyriboletus appendiculatus          279         31
Mycena pelianthina                    279         31
Mycena polygramma                     278         31
Mutinus caninus                       278         31
Mensularia nodulosa                   277         31
Lactarius helvus                      277         31
Lycoperdon utriforme                  277         31
Lactarius tabidus                     276         31
Russula xerampelina                   276         31
Russula depallens                     272         30
Phlyctis argena                       271         30
Ganoderma adspersum                   270         30
Bulgaria inquinans                    268         30
Marasmiellus ramealis                 268         30
Lycoperdon pratense                   267         30
Xylodon sambuci                       266         30
Lecanora muralis                      265         30
Pseudoinonotus dryadeus               265         29
Cortinarius anomalus                  265         29
Strobilomyces strobilaceus            264         29
Radulomyces confluens                 264         29
Pithya vulgaris                       264         29
Xylaria longipes                      263         29
Gomphidius glutinosus                 263         29
Hygrophorus pustulatus                262         29
Lactarius deliciosus                  261         29
Picipes badius                        261         29
Panellus mitis                        261         29
Eutypa spinosa                        261         29
Suillus bovinus                       261         29
Skeletocutis amorpha                  258         29
Agaricus bitorquis                    257         29
Scleroderma verrucosum                257         29
Candelariella vitellina               256         28
Hygrocybe reidii                      256         29
Serpula himantioides                  256         28
Hypholoma lateritium                  256         28
Deconica horizontalis                 255         28
Entoloma serrulatum                   253         28
Chlorophyllum rachodes                253         28
Russula rosea                         253         28
Clitocybe gibba                       253         28
Mycena sanguinolenta                  251         28
Hapalopilus rutilans                  249         28
Ganoderma lucidum                     249         28
Peltigera hymenina                    249         28
Leucoagaricus leucothites             249         28
Suillus grevillei                     247         27
Mycena inclinata                      247         27
Antrodia xantha                       246         27
Hygrocybe insipida                    245         27
Mycena pseudocorticola                245         27
Calvatia gigantea                     245         27
Gliophorus irrigatus                  244         27
Leccinum versipelle                   244         27
Vuilleminia comedens                  244         27
Suillus variegatus                    244         27
Clavulinopsis corniculata             243         27
Clitocybe metachroa                   242         27
Cladonia portentosa                   241         27
Cortinarius alboviolaceus             241         27
Psathyrella spadiceogrisea            239         27
Lecanora rupicola                     239         27
Tricholoma fulvum                     238         27
Phellinus populicola                  238         27
Russula praetervisa                   238         26
Xerocomellus porosporus               238         26
Lentinellus ursinus                   237         26
Phaeophyscia orbicularis              236         26
Lichenomphalia umbellifera            234         26
Lactarius pyrogalus                   234         26
Russula atropurpurea                  234         26
Pleurotus dryinus                     234         26
Russula olivacea                      234         26
Scutellinia scutellata                232         26
Arrhenia retiruga                     232         26
Russula solaris                       232         26
Phellinopsis conchata                 232         26
Glutinoglossum glutinosum             231         26
Tricholoma ustale                     230         26
Dacrymyces lacrymalis                 229         26
Auriscalpium vulgare                  227         25
Cladonia scabriuscula                 227         25
Craterellus cornucopioides            226         25
Melanelixia fuliginosa                226         26
Melanelixia subaurifera               225         25
Rickenella swartzii                   223         25
Cladonia furcata                      220         24
Russula queletii                      220         24
Hygrophorus eburneus                  219         24
Psilocybe coronilla                   219         24
Entoloma clypeatum                    219         24
Cladonia floerkeana                   218         24
Hypoxylon fuscum                      218         24
Gymnopus perforans                    217         24
Lactarius pallidus                    217         24
Agrocybe pediades                     216         24
Ceratiomyxa fruticulosa               214         24
Chlorociboria aeruginascens           214         24
Tyromyces lacteus                     214         24
Leucopaxillus giganteus               214         24
Amanita porphyria                     214         24
Discina ancilis                       213         24
Cortinarius bolaris                   212         24
Leccinum variicolor                   211         24
Amanita virosa                        211         24
Hemileucoglossum elongatum            211         24
Peziza varia                          208         23
Oligoporus alni                       208         23
Amanita gemmata                       207         23
Lactarius torminosus                  207         23
Macrolepiota mastoidea                207         23
Mycena metata                         206         23
Atheniella flavoalba                  206         23
Resinicium bicolor                    205         23
Cuphophyllus flavipes                 203         23
Dermoloma cuneifolium                 203         23
Cladonia fimbriata                    202         22
Pseudevernia furfuracea               202         23
Phaeoclavulina eumorpha               202         22
Physisporinus vitreus                 202         23
Gymnopus aquosus                      201         22
Parmelia saxatilis                    201         22
Oxyporus populinus                    201         22
Russula claroflava                    200         22
Encoelia furfuracea                   200         22
Russula violeipes                     200         22
Tubaria conspersa                     200         22
Crepidotus variabilis                 199         22
Cyathus striatus                      198         22
Phellinus igniarius                   197         22
Physcia caesia                        197         22
Mycena arcangeliana                   196         22
Amanita citrina                       195         22
Mycena aetites                        195         22
Pluteus phlebophorus                  195         22
Deconica montana                      193         21
Melanoleuca cognata                   193         21
Gloeoporus taxicola                   193         22
Acarospora fuscata                    193         22
Leccinum aurantiacum                  193         22
Mycena olivaceomarginata              192         21
Scytinostroma hemidichophyticum        192         21
Tulostoma brumale                     190         21
Hygrocybe nitrata                     190         21
Ampulloclitocybe clavipes             189         21
Lepiota magnispora                    188         21
Stereum sanguinolentum                187         21
Grifola frondosa                      187         21
Russula fragilis                      186         21
Rhytisma acerinum                     186         21
Geoglossum fallax                     186         21
Russula chloroides                    186         21
Cladonia rangiformis                  185         21
Trichaptum fuscoviolaceum             185         21
Paxillus obscurisporus                185         21
Pluteus romellii                      184         20
Resupinatus trichotis                 184         20
Botryobasidium aureum                 183         20
Hygrophorus olivaceoalbus             182         20
Helvella elastica                     182         20
Scleroderma areolatum                 182         20
Coltricia perennis                    182         20
Cyanoboletus pulverulentus            182         20
Neobulgaria pura                      181         20
Chrysomphalina grossula               181         20
Gloeophyllum odoratum                 181         20
Inonotus obliquus                     180         20
Clitopilus hobsonii                   180         20
Lactarius fluens                      179         20
Boletus subtomentosus                 178         20
Lepiota castanea                      178         20
Diatrype disciformis                  178         20
Panaeolus acuminatus                  177         20
Bispora antennata                     177         20
Macrolepiota excoriata                176         20
Cladonia ramulosa                     176         20
Steccherinum fimbriatum               176         20
Russula velenovskyi                   176         20
Russula risigallina                   175         19
Cortinarius rubellus                  175         20
Paxillus filamentosus                 175         20
Lentinellus cochleatus                175         20
Pholiota lenta                        175         20
Hebeloma mesophaeum                   175         20
Cladonia diversa                      175         19
Cortinarius infractus                 174         19
Coprinopsis nivea                     172         19
Tephromela atra                       172         19
Clitocybe phyllophila                 172         19
Mycena tenerrima                      172         19
Panaeolus semiovatus                  171         19
Gyromitra esculenta                   170         19
Russula foetens                       170         19
Lecanora albescens                    168         19
Russula grata                         168         19
Hemipholiota populnea                 168         19
Lactarius aurantiacus                 168         19
Volvariella bombycina                 168         19
Tolypocladium ophioglossoides         167         19
Rigidoporus sanguinolentus            166         19
Mycoacia uda                          166         19
Lactarius vellereus                   166         18
Lactarius romagnesii                  165         18
Lactarius camphoratus                 165         18
Leccinum cyaneobasileucum             165         18
Russula nobilis                       165         18
Calloria neglecta                     165         18
Hypogymnia tubulosa                   164         18
Russula densifolia                    164         18
Russula cessans                       164         18
Platismatia glauca                    163         18
Agaricus sylvaticus                   162         18
Erythricium aurantiacum               162         18
Laccaria bicolor                      162         18
Gymnopus fusipes                      161         18
Lycoperdon echinatum                  161         18
Leucocybe connata                     161         18
Peltigera membranacea                 161         18
Russula heterophylla                  160         18
Russula aurora                        160         18
Exidia recisa                         159         18
Hericium cirrhatum                    159         18
Hydropus subalpinus                   159         18
Inocybe sindonia                      159         18
Lactarius circellatus                 158         18
Mycena abramsii                       158         18
Daldinia concentrica                  158         18
Lobaria pulmonaria                    157         17
Flammulina elastica                   157         18
Cortinarius obtusus                   157         17
Buglossoporus quercinus               157         17
Mycena acicula                        157         18
Mycena filopes                        157         17
Conocybe aporos                       157         18
Micarea lignaria                      157         18
Omphalina pyxidata                    157         18
Lactarius vietus                      157         18
Trichoderma europaeum                 157         18
Clavariadelphus pistillaris           157         17
Clavulinopsis helvola                 156         17
Inocybe napipes                       156         17
Inonotus cuticularis                  155         17
Galerina paludosa                     154         17
Clitocybe odora                       154         17
Russula aeruginea                     153         17
Psathyrella multipedata               153         17
Cladonia uncialis                     153         17
Hebeloma radicosum                    151         17
Lachnella alboviolascens              151         17
Entoloma prunuloides                  151         17
Rutstroemia firma                     148         16
Russula virescens                     148         17
Stropharia aeruginosa                 148         16
Russula nitida                        148         17
Leratiomyces squamosus                148         16
Erysiphe alphitoides                  148         16
Lepiota erminea                       148         17
Clitocybe rivulosa                    148         17
Macrocystidia cucumis                 147         16
Cortinarius trivialis                 147         16
Lycoperdon lividum                    146         16
Pholiota flammans                     146         16
Entoloma conferendum                  146         16
Tapinella panuoides                   146         16
Russula emetica                       146         16
Crinipellis scabella                  143         16
Atheniella adonis                     143         16
Peniophora limitata                   143         16
Lepista panaeolus                     143         16
Gymnosporangium clavariiforme         143         16
Pycnoporus cinnabarinus               143         16
Puccinia malvacearum                  141         16
Conocybe apala                        141         16
Ganoderma resinaceum                  141         16
Hygrophorus discoxanthus              140         16
Skeletocutis carneogrisea             140         16
Hortiboletus engelii                  140         16
Phyllotopsis nidulans                 140         16
Helvella acetabulum                   139         15
Laxitextum bicolor                    139         15
Russula fellea                        139         16
Puccinia punctiformis                 139         16
Amanita ceciliae                      139         16
Lecanora carpinea                     139         16
Macrotyphula juncea                   139         16
Exidiopsis effusa                     139         15
Rubroboletus satanas                  139         16
Peltigera didactyla                   139         16
Amanita strobiliformis                138         15
Hygrocybe glutinipes                  138         15
Tubaria dispersa                      138         15
Sabuloglossum arenarium               138         15
Mycena rubromarginata                 138         15
Geastrum fimbriatum                   134         15
Hygrocybe russocoriacea               134         15
Scleroderma bovista                   134         15
Spathularia flavida                   133         15
Melogramma spiniferum                 132         15
Inocybe petiginosa                    132         15
Pleurosticta acetabulum               131         15
Dumontinia tuberosa                   131         15
Orbilia xanthostigma                  130         14
Lactarius fulvissimus                 130         15
Cladonia humilis                      130         14
Hygrophorus agathosmus                130         15
Uromyces ficariae                     130         14
Peniophora lycii                      130         15
Agaricus dulcidulus                   130         14
Porphyrellus porphyrosporus           130         14
Hygrocybe helobia                     130         14
Cortinarius sanguineus                130         15
Phlebia subochracea                   130         15
Russula amoenolens                    130         14
Hypocreopsis lichenoides              129         14
Disciotis venosa                      129         14
Phellodon tomentosus                  129         15
Pertusaria pertusa                    129         14
Glyphium elatum                       128         14
Polyporus umbellatus                  128         14
Hygrocybe coccineocrenata             128         14
Morchella esculenta                   128         14
Pluteus umbrosus                      127         14
Sphagnurus paluster                   127         14
Panus conchatus                       127         14
Cladonia coniocraea                   127         14
Clavaria argillacea                   126         14
Ascotremella faginea                  126         14
Russula nauseosa                      126         14
Pseudoboletus parasiticus             126         14
Trichoderma aureoviride               126         14
Russula ionochlora                    125         14
Antrodiella serpula                   125         14
Mycena meliigena                      125         14
Clitopilus geminus                    125         14
Gomphidius roseus                     125         14
Exidia pithya                         125         14
Rugosomyces carneus                   124         14
Psathyrella bipellis                  124         14
Cladonia glauca                       124         14
Geopora sumneriana                    124         14
Lactarius controversus                124         14
Hydnellum concrescens                 123         14
Mitrula paludosa                      123         14
Cortinarius hemitrichus               123         14
Cortinarius caerulescens              123         14
Entoloma sericeum                     123         14
Parmotrema perlatum                   123         14
Vuilleminia coryli                    123         14
Tricholoma lascivum                   122         14
Trichoglossum hirsutum                122         14
Arrhenia peltigerina                  122         14
Leccinum albostipitatum               122         14
Gymnosporangium sabinae               122         14
Russula graveolens                    122         14
Entoloma cetratum                     122         14
Gymnopus androsaceus                  121         13
Hemimycena lactea                     121         13
Diatrype bullata                      121         13
Diatrype decorticata                  121         14
Chlorophyllum brunneum                121         14
Hydnum rufescens                      121         13
Russula sardonia                      121         14
Asterophora parasitica                121         13
Xanthoria calcicola                   121         13
Lactarius hepaticus                   120         13
Entoloma rhodopolium                  120         13
Pleurocybella porrigens               120         13
Parmelia submontana                   120         13
Geoglossum cookeanum                  120         13
Russula romellii                      120         13
Phragmidium violaceum                 120         13
Collybia cookei                       119         13
Cladonia ciliata                      119         13
Amanita submembranacea                119         13
Hygrophorus hypothejus                119         13
Suillus viscidus                      119         13
Phleogena faginea                     118         13
Hygrocybe phaeococcinea               118         13
Cortinarius citrinus                  118         13
Diatrypella quercina                  118         13
Parasola lactea                       118         13
Phlebiopsis gigantea                  117         13
Russula parazurea                     116         13
Cinereomyces lindbladii               116         13
Cladonia gracilis                     116         13
Cheilymenia granulata                 116         13
Melanohalea exasperatula              116         13
Russula betularum                     115         13
Fomitiporia punctata                  115         13
Xylaria carpophila                    114         13
Physconia perisidiosa                 114         13
Cortinarius hinnuleus                 113         13
Pholiota jahnii                       113         13
Resupinatus applicatus                113         13
Tricholoma equestre                   113         13
Coprinellus domesticus                113         13
Puccinia urticata                     112         13
Melanoleuca grammopodia               112         12
Mycena cinerella                      112         13
Inocybe mixtilis                      112         12
Urocystis eranthidis                  112         13
Punctelia subrudecta                  112         12
Russula puellaris                     112         12
Cladonia foliacea                     111         12
Hypomyces aurantius                   111         12
Bovista plumbea                       111         12
Clavaria falcata                      111         12
Peziza vesiculosa                     110         12
Leccinum duriusculum                  110         12
Uromyces dactylidis                   110         12
Tricholoma stiparophyllum             110         12
Cyclocybe erebia                      110         12
Lactarius volemus                     110         12
Hypoxylon macrocarpum                 110         12
Tremella encephala                    109         12
Mycetinis scorodonius                 109         12
Propolis farinosa                     109         12
Lactarius glyciosmus                  109         12
Peltigera canina                      108         12
Picipes tubaeformis                   108         12
Lepiota clypeolaria                   108         12
Peniophora polygonia                  108         12
Ramaria botrytis                      108         12
Ascodichaena rugosa                   107         12
Protomyces macrosporus                107         12
Lecanora campestris                   107         12
Conocybe arrhenii                     107         12
Galerina pumila                       107         12
Inocutis rheades                      107         12
Agaricus bernardii                    106         12
Humaria hemisphaerica                 106         12
Xanthoria polycarpa                   106         12
Tricholoma saponaceum                 106         12
Clavulinopsis luteoalba               106         12
Marasmius wynneae                     106         12
Cystolepiota seminuda                 106         12
Xanthoparmelia conspersa              105         12
Auricularia mesenterica               105         12
Cortinarius sphagnophilus             105         12
Tricholoma cingulatum                 105         12
Lachnum impudicum                     105         12
Badhamia utricularis                  105         12
Phloeomana hiemalis                   104         12
Tricholoma orirubens                  104         12
Entoloma griseocyaneum                104         12
Chroogomphus rutilus                  104         12
Amanita crocea                        104         12
Inocybe whitei                        104         12
Galerina sideroides                   103         11
Melanoleuca friesii                   103         12
Lactarius piperatus                   103         12
Otidea bufonia                        103         11
Alboleptonia sericella                102         11
Coprinopsis romagnesiana              102         11
Amanita vaginata                      102         11
Agrocybe dura                         102         11
Gamundia striatula                    101         11
Lactarius quieticolor                 101         11
Mollisia cinerea                      100         11
Athelia epiphylla                     100         11
Stropharia rugosoannulata             100         11
Geastrum pectinatum                   100         11
Mycena capillaris                     100         11
Mycena diosma                         100         11
Inocybe asterospora                    99         11
Inocybe fuscidula                      99         11
Russula versicolor                     99         11
Lecanora polytropa                     99         11
Rhizomarasmius setosus                 99         11
Entoloma chalybeum                     99         11
Lactarius ruginosus                    99         11
Gymnopus ocior                         98         11
Roseodiscus formosus                   98         11
Cetraria aculeata                      98         11
Cortinarius balteatocumatilis          98         11
Polysporina simplex                    97         11
Cortinarius livido-ochraceus           97         11
Flammulaster carpophilus               97         11
Pseudoplectania nigrella               97         11
Arrhenia spathulata                    97         11
Galerina clavata                       96         11
Parasola auricoma                      96         11
Lactarius pterosporus                  96         11
Suillus collinitus                     96         11
Entoloma lividoalbum                   96         11
Capitotricha bicolor                   96         11
Crepidotus luteolus                    95         11
Lachnum virgineum                      95         11
Inocybe flocculosa                     95         11
Hygrocybe splendidissima               95         11
Circinaria contorta                    95         11
Hygrophorus penarius                   95         11
Phanerochaete velutina                 95         11
Hebeloma sinapizans                    94         10
Stereum gausapatum                     94         11
Tarzetta cupularis                     94         11
Mycena stipata                         94         10
Hyphoderma setigerum                   94         10
Hygrophorus pallidus                   94         10
Cantharellus amethysteus               94         10
Fuscoporia ferruginosa                 94         11
Thelephora palmata                     94         11
Trichoderma pulvinatum                 94         10
Mycena amicta                          93         10
Pluteus podospileus                    93         10
Cladonia ochrochlora                   93         10
Cetraria islandica                     93         10
Suillellus queletii                    92         10
Psathyrella cotonea                    92         10
Taphrina alni                          92         10
Camarops polysperma                    92         10
Russula veternosa                      92         10
Naucoria scolecina                     91         10
Phaeotremella foliacea                 91         10
Cystoderma carcharias                  91         10
Calocera furcata                       90         10
Thelephora penicillata                 90         10
Phellodon niger                        90         10
Lepiota grangei                        90         10
Entoloma hebes                         90         10
Neolentinus lepideus                   89         10
Cortinarius cinnabarinus               89         10
Ochrolechia parella                    89         10
Plasmopara nivea                       89         10
Russula decolorans                     89         10
Paxillus ammoniavirescens              88         10
Ceriporia excelsa                      88         10
Illosporiopsis christiansenii          88         10
Cortinarius elegantissimus             88         10
Clitocybe squamulosa                   88         10
Delicatula integrella                  87         10
Hericium erinaceus                     87         10
Cortinarius barbatus                   87         10
Cystoderma jasonis                     87         10
Gyromitra infula                       87         10
Rhizopogon obtextus                    87         10
Graphis scripta                        87         10
Parasola schroeteri                    86         10
Xanthoparmelia verruculifera           86         10
Melanoleuca polioleuca                 86         10
Pluteus nanus                          86         10
Stropharia hornemannii                 85         10
Gyroporus cyanescens                   85         10
Antrodia ramentacea                    85          9
Cladonia subulata                      85          9
Cladonia digitata                      85          9
Gyrodon lividus                        85         10
Geoglossum umbratile                   85         10
Chromocyphella muscicola               85         10
Entoloma undatum                       84          9
Puccinia festucae                      84          9
Mycena citrinomarginata                84          9
Cortinarius purpurascens               84          9
Cudoniella acicularis                  84          9
Psilocybe semilanceata                 84          9
Cortinarius delibutus                  84          9
Cortinarius violaceus                  84          9
Russula faginea                        83          9
Metatrichia floriformis                83          9
Entoloma incanum                       83          9
Bovista nigrescens                     83          9
Taphrina betulina                      83          9
Gyromitra gigas                        83          9
Lactarius acris                        83          9
Hypoxylon howeanum                     83          9
Clitocybe vibecina                     83          9
Lepiota felina                         83          9
Hygrocybe quieta                       82          9
Dictydiaethalium plumbeum              82          9
Perenniporia fraxinea                  82          9
Puccinia aegopodii                     82          9
Strobilurus tenacellus                 82          9
Russula delica                         81          9
Cortinarius alcalinophilus             81          9
Pholiota conissans                     81          9
Pluteus plautus                        81          9
Hygrophorus unicolor                   81          9
Tricholoma portentosum                 81          9
Cantharellus cinereus                  81          9
Sphaerobolus stellatus                 81          9
Sebacina grisea                        81          9
Leccinellum pseudoscabrum              81          9
Cuphophyllus colemannianus             80          9
Nemania serpens                        80          9
Mycena purpureofusca                   80          9
Xylodon crustosus                      80          9
Nectria peziza                         80          9
Hypholoma elongatum                    80          9
Pluteus thomsonii                      79          9
Collybia cirrhata                      79          9
Inonotus hispidus                      79          9
Hygrophorus chrysodon                  79          9
Marasmius epiphylloides                79          9
Scopuloides rimosa                     79          9
Tricholoma columbetta                  79          9
Russula odorata                        79          9
Entoloma sericatum                     79          9
Cortinarius caperatus                  79          9
Mycena stylobates                      79          9
Leccinum vulpinum                      78          9
Lactarius chrysorrheus                 78          9
Hygrocybe spadicea                     78          9
Byssonectria terrestris                78          9
Galerina hypnorum                      78          9
Trichia varia                          77          9
Tricholoma sejunctum                   77          9
Parasola kuehneri                      77          9
Agaricus litoralis                     76          9
Gloioxanthomyces vitellinus            76          9
Ciboria amentacea                      76          8
Inocybe lanuginosa                     76          8
Inocybe curvipes                       76          9
Hypotrachyna revoluta                  76          8
Pluteus atromarginatus                 76          8
Elaphomyces muricatus                  76          8
Cortinarius triumphans                 76          9
Camarophyllopsis schulzeri             76          9
Ramaria sanguinea                      76          9
Peniophorella pubera                   76          9
Marasmius bulliardii                   76          8
Neonectria coccinea                    76          8
Tranzschelia anemones                  76          8
Puccinia poarum                        76          8
Schizophyllum amplum                   75          8
Russula silvestris                     75          8
